total_cost,estimated_rows,plan_width,has_where,has_join,has_group_by,has_order_by,has_aggregate,latency_ms
13072.56,500000,17,0,1,0,0,0,564.5891998428851
2083.0,47137,32,1,0,0,0,0,37.7269999589771
2083.0,25197,32,1,0,0,0,0,20.85279999300837
9832.22,1,14,1,1,1,0,1,64.069899963215
9833.29,1,14,1,1,1,0,1,65.09290006943047
9830.51,1,14,1,1,1,0,1,59.10419998690486
2333.04,4,14,0,0,1,0,1,14.06370010226965
2333.04,4,14,0,0,1,0,1,11.123500065878034
9830.51,1,14,1,1,1,0,1,64.00369992479682
9832.22,1,14,1,1,1,0,1,62.53460003063083
13072.56,500000,17,0,1,0,0,0,373.6835001036525
2083.0,25197,32,1,0,0,0,0,33.39380002580583
13072.56,500000,17,0,1,0,0,0,404.2066999245435
9833.29,1,14,1,1,1,0,1,63.69310012087226
2333.04,4,14,0,0,1,0,1,10.65710000693798
9832.22,1,14,1,1,1,0,1,57.13830003514886
13072.56,500000,17,0,1,0,0,0,404.4806000310928
2333.04,4,14,0,0,1,0,1,11.021400103345512
13072.56,500000,17,0,1,0,0,0,395.3393001575023
2083.0,56903,32,1,0,0,0,0,63.07030003517866
9836.65,1,14,1,1,1,0,1,66.14769995212555
9830.51,1,14,1,1,1,0,1,61.74620008096099
13072.56,500000,17,0,1,0,0,0,574.7434999793768
2083.0,80983,32,1,0,0,0,0,76.21510000899434
2333.04,4,14,0,0,1,0,1,11.716699926182628
2083.0,88920,32,1,0,0,0,0,76.3148998375982
9832.22,1,14,1,1,1,0,1,70.11540001258254
2083.0,23723,32,1,0,0,0,0,42.73960017599165
9833.29,1,14,1,1,1,0,1,83.85160006582737
2083.0,24947,32,1,0,0,0,0,34.95300002396107
2333.04,4,14,0,0,1,0,1,26.671400060877204
13072.56,500000,17,0,1,0,0,0,816.8488000519574
2083.0,25197,32,1,0,0,0,0,31.753099989145998
2083.0,25007,32,1,0,0,0,0,24.55960004590452
2333.04,4,14,0,0,1,0,1,18.93050014041364
2083.0,56903,32,1,0,0,0,0,72.07489991560578
9833.29,1,14,1,1,1,0,1,82.91979995556176
9836.65,1,14,1,1,1,0,1,90.19170003011824
9833.29,1,14,1,1,1,0,1,91.76009986549616
2333.04,4,14,0,0,1,0,1,26.84400021098554
2083.0,25197,32,1,0,0,0,0,47.50159988179803
2333.04,4,14,0,0,1,0,1,29.104200191795822
2083.0,29877,32,1,0,0,0,0,51.46009987220168
13072.56,500000,17,0,1,0,0,0,817.2226001042873
2083.0,15643,32,1,0,0,0,0,28.094999957829717
2083.0,50297,32,1,0,0,0,0,43.19499991834164
9833.29,1,14,1,1,1,0,1,74.81699995696545
2083.0,58600,32,1,0,0,0,0,70.03699988126755
2083.0,25007,32,1,0,0,0,0,31.828500097617507
13072.56,500000,17,0,1,0,0,0,669.6218999568373
2333.04,4,14,0,0,1,0,1,11.419099988415836
13072.56,500000,17,0,1,0,0,0,571.9152998644859
2333.04,4,14,0,0,1,0,1,11.328900000080466
9836.65,1,14,1,1,1,0,1,62.22359999082983
2333.04,4,14,0,0,1,0,1,19.75829992443323
9832.22,1,14,1,1,1,0,1,65.77449990436435
13072.56,500000,17,0,1,0,0,0,635.2609000168741
9832.22,1,14,1,1,1,0,1,84.30689992383122
2333.04,4,14,0,0,1,0,1,27.90149999782443
2333.04,4,14,0,0,1,0,1,27.36219996586442
13072.56,500000,17,0,1,0,0,0,664.1472999472171
9836.65,1,14,1,1,1,0,1,62.156499829143286
13072.56,500000,17,0,1,0,0,0,625.8018999360502
2083.0,15643,32,1,0,0,0,0,24.715200066566467
2333.04,4,14,0,0,1,0,1,11.211399920284748
13072.56,500000,17,0,1,0,0,0,606.1248001642525
2083.0,77783,32,1,0,0,0,0,56.760799838230014
13072.56,500000,17,0,1,0,0,0,527.8497999534011
2333.04,4,14,0,0,1,0,1,11.414800072088838
13072.56,500000,17,0,1,0,0,0,538.9831999782473
9836.65,1,14,1,1,1,0,1,61.94479996338487
2333.04,4,14,0,0,1,0,1,16.66789990849793
2083.0,24947,32,1,0,0,0,0,31.52570012025535
2083.0,85630,32,1,0,0,0,0,99.28839979693294
13072.56,500000,17,0,1,0,0,0,520.9399999585003
13072.56,500000,17,0,1,0,0,0,631.0338999610394
2083.0,24947,32,1,0,0,0,0,26.200199965387583
2083.0,25197,32,1,0,0,0,0,35.79299990087748
